consultation;0;5;3;1;29;3
concret;0;1;7;2;9;6
conclusion;0;5;7;1;12;3
collaboration;8;13;2;0;15;2
charger;11;13;1;6;6;3
capitale;5;7;4;3;4;14
arrêter;4;7;9;7;11;3
thèse;3;8;4;4;14;0
successivement;2;1;18;3;7;7
sembler;2;4;8;10;3;11
rome;10;10;0;4;1;12
préface;3;0;1;7;26;1
portée;0;4;3;7;8;14
phase;0;0;18;4;3;3
payer;26;2;1;4;1;3
ordonner;0;2;2;12;15;1
marquer;6;0;3;2;5;15
lit;2;3;7;6;8;8
industriel;6;15;3;4;4;7
encyclopédique;2;5;1;4;25;0
dépasser;11;6;0;4;1;7
droite;1;0;2;1;9;21
contribution;2;1;5;0;23;4
constamment;1;1;18;3;13;1
cliché;2;1;0;0;3;25
beauté;2;0;13;13;1;6
accroître;6;5;16;3;4;2
vision;1;0;5;5;3;20
trait;1;1;4;4;1;20
répartition;3;8;2;1;11;4
museum;8;5;1;0;6;1
instruction;5;13;2;5;8;3
examiner;1;5;12;2;13;1
coup;3;1;10;8;7;8
contemporain;5;5;5;11;6;5
censure;20;2;5;3;1;3
book;8;1;1;0;4;2
bibliologiques;0;0;23;2;5;0
bible;4;0;1;18;8;3
berlin;24;5;0;1;1;2
antiquité;0;2;1;22;2;7
amérique;21;2;0;6;3;4
élaborer;3;11;8;0;9;2
riche;9;2;5;12;3;4
préparation;2;3;9;2;12;7
plume;0;0;6;1;0;26
lutte;3;3;17;7;1;4
journaliste;13;10;3;5;1;1
inscrire;1;1;3;3;21;7
gros;7;0;2;2;5;12
fascicule;2;1;0;0;30;0
entreprendre;11;7;2;5;9;2
constitution;1;14;8;2;4;1
citation;0;0;1;8;16;2
centrale;7;25;1;1;2;0
central;2;19;2;0;9;3
catalographie;0;3;0;0;30;0
élevé;11;1;5;5;2;8
échelle;1;1;4;1;3;20
simplement;1;1;2;3;10;13
réserver;8;5;4;1;8;9
réforme;6;8;1;7;4;7
psychologique;0;0;28;2;0;2
précéder;3;1;2;9;16;3
londres;13;10;0;0;3;4
linguistique;0;0;16;2;2;1
limiter;4;6;9;2;12;3
impossible;1;4;11;3;7;6
graver;0;0;0;0;3;32
facilité;4;3;1;5;9;10
examen;2;1;14;2;11;3
empire;9;5;6;11;0;3
distribuer;9;8;3;2;11;3
convenir;5;2;4;5;11;9
commencement;2;0;1;9;12;10
cerveau;0;1;21;2;2;5
automatique;2;0;4;0;3;25
attendre;6;5;10;2;6;4
argent;8;3;3;4;2;14
appartenir;4;8;4;5;9;2
académie;4;17;1;5;2;4
toucher;4;2;3;4;2;16
solution;0;8;11;4;2;3
remonter;1;4;0;9;3;17
présentation;1;7;8;1;9;3
poids;0;3;1;2;2;9
placement;3;1;0;0;24;2
ouvrir;8;5;4;2;5;11
occasion;10;1;6;4;6;3
incorporer;0;5;7;2;11;2
guère;3;1;5;15;4;7
firme;7;3;1;0;14;7
discussion;4;4;3;8;7;2
cycle;4;3;9;1;9;4
chemin;12;1;2;1;0;16
champ;1;3;9;5;5;8
carton;0;1;0;0;10;22
