"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"rigoureux";-0,01;-1,344;0,233;-0,082;4,629;-2,165
"revêtir";-0,533;-0,003;8,869;-0,874;-2,924;0,324
"précédent";1,128;-1,131;-0,581;0,496;0,308;-0,246
"procurer";2,631;0,032;0,118;-1,602;-0,008;-0,349
"pousser";-3,072;0,008;0,058;8,545;-0,498;-0,465
"population";1,679;3,493;-1,523;2,583;-3,543;-0,789
"parcourir";6,644;-1,005;-0,003;-0,239;-3,855;1,814
"médecine";0,083;0,685;-2,05;-0,416;0,852;-0,001
"médaille";-0,748;-0,881;-3,508;-1,157;-1,782;32,234
"moitié";1,128;-0,158;-1,872;0,005;-2,318;5,455
"maintenir";2,266;0,527;0,671;-1,754;0,081;-3,106
"jeune";2,266;-3,291;-0,837;5,366;-2,877;0,88
"inverse";-3,212;0,396;1,625;-1,908;-0,656;3,502
"interprétation";-2,932;-3,141;2,331;13,711;-1,219;-0,349
"installation";-0,093;31,317;-3,899;-3,39;0,001;-1,128
"facilement";-1,093;0,032;-0,062;-1,602;5,972;-0,349
"fabriquer";11,971;-1,39;-2,229;-3,73;-7,218;17,456
"extrême";-2,652;-1,005;13,494;2,16;-2,047;-0,955
"département";0,041;69,666;-2,229;-3,73;-4,802;-3,106
"démontrer";-0,249;0,066;4,697;-2,202;-4,261;3,034
"divin";-3,072;-3,291;-0,113;80,845;-7,218;-3,106
"disperser";0,912;-0,223;-0,062;-1,602;5,972;-2,878
"destinée";-1,334;3,504;-0,178;-0,038;0,414;-0,592
"delà";-1,093;-1,259;4,488;-0,001;-2,595;2,623
"coordination";-2,792;18,184;0,203;-1,452;0,308;-4,818
"compliqué";-0,533;-2,392;-0,168;0,238;-1,275;9,619
"campagne";36,8;0,527;-4,29;0,246;-4,802;-3,106
"aérien";-0,86;-0,102;-3,703;-3,22;-6,232;51,22
"auditeur";5,9;-2,991;-1,872;10,561;-6,56;0,405
"assemblée";-1,212;41,493;-4,29;-0,515;-2,877;-0,02
"artificiel";-2,792;-1,131;8,269;0,496;-6,56;3,131
"approprié";-2,932;7,714;-0,706;-3,56;3,752;-0,349
"abondant";0,083;0,685;-0,706;-3,56;0,852;0,264
"émission";-2,932;36,327;-4,094;-1,602;-0,357;-0,001
"w";0,564;-1,494;-0,29;-0,161;0,154;0,723
"transporter";1,128;-1,131;-0,024;0,005;-1,007;1,447
"sûr";-2,233;-0,643;-1,184;-0,05;0,375;6,093
"subdivision";-2,233;-2,392;-3,118;-0,874;34,068;-1,768
"siège";-3,072;6,924;-4,29;0,246;5,133;-3,106
"sceau";-0,17;-0,23;-0,557;-2,032;-0,413;11,67
"recourir";-0,093;12,948;-0,024;-3,39;-0,234;-0,246
"prévoir";2,631;28,914;-0,706;-1,602;-2,595;-5,059
"provenir";8,737;-1,259;-0,062;-0,416;-0,357;-0,001
"perspective";-2,652;-1,005;-0,463;-3,22;-3,855;43,242
"percevoir";-1,674;-1,793;22,373;-0,365;-3,933;0,243
"mentionner";-1,212;-1,39;-2,229;-1,754;38,781;-5,301
"mauvais";2,631;-3,141;-4,094;9,497;-1,219;0,264
"largeur";-0,975;-2,991;-0,581;-3,39;-2,318;39,689
"joint";-0,051;0,133;-0,463;-3,22;15,189;-4,576
"infini";-3,072;-1,39;3,903;5,366;-4,802;0,88
"indispensable";-0,051;-0,102;5,902;0,027;-0,806;-0,955
"inconnu";-1,212;-3,291;-2,229;2,923;-0,498;9,597
"incomplet";-0,533;-2,392;2,633;1,437;0,001;-0,485
"hauteur";-2,932;-1,259;-0,062;-0,416;-2,595;24,363
"habitude";-0,86;-0,102;-0,463;2,16;0,028;0,034
"géographie";-2,792;-1,131;-0,024;1,797;-0,234;3,131
"fête";-2,652;-1,005;-3,703;36,48;-2,047;0,034
"futur";-0,748;-0,881;15,039;-0,164;0,094;-4,335
"frapper";-0,639;-2,541;-3,313;-0,1;-0,012;16,961
"exécution";-3,072;1,853;0,058;1,216;-1,442;0,158
"enrichir";-1,212;-0,296;0,058;28,628;-4,802;-1,494
"décider";1,128;-0,158;-1,872;-0,323;6,928;-2,652
"débat";-0,748;3,493;-3,508;39,716;-5,903;-4,335
"dater";-0,021;-2,691;-0,354;-3,05;6,234;0,814
"culte";-2,233;-2,392;-1,184;81,421;-5,246;-3,853
"conscient";-2,233;-2,392;18,779;11,107;-5,246;-3,853
"condenser";-1,674;-0,23;2,562;0,047;1,871;-2,888
"cataloguer";-0,143;0,685;-4,094;-1,602;15,716;-2,878
"caractériser";-2,652;-1,005;46,014;-3,22;-6,232;0,034
"capable";-0,533;-2,392;25,112;0,238;-5,246;-0,485
"antique";-2,792;-2,991;-3,899;33,584;-2,318;1,447
"annexe";-0,975;0,072;-0,581;-1,452;17,557;-4,818
"analogie";0,11;-0,896;-1,168;-1,015;2,075;0,748
"aisément";-0,748;-0,881;0,002;0,071;3,8;-0,789
"accomplir";-0,86;-1,005;13,494;2,16;-0,806;-4,576
"xiiie";1,128;-1,131;-3,899;0,005;-4,17;16,278
"volontaire";0,466;4,068;0,656;0,139;-1,524;-4,094
"verso";-2,652;-2,841;-1,696;-3,22;36,343;-0,955
"usuel";0,055;-2,092;-2,727;0;2,499;0,758
"ultérieur";-2,792;-2,991;8,269;-3,39;13,475;-4,818
"systématiquement";1,128;5,136;-3,899;-1,452;4,464;-4,818
"subir";-0,143;-1,259;-0,706;-0,001;-0,008;4,719
"stock";84,97;-0,056;-3,508;-3,05;-3,543;-4,335
"signature";-0,975;-2,991;-3,899;-3,39;6,928;8,421
"second";-0,338;-0,423;-0,041;9,133;-0,079;-1,344
"réponse";2,437;4,733;-3,118;0,238;-1,275;-0,485
"référer";-2,652;-1,005;-0,003;-3,22;24,631;-2,428
"rechercher";-2,372;-2,541;-0,255;0,139;0,207;5,179
"préoccuper";0,055;6,412;-0,859;0;0,116;-3,37
"poétique";-2,512;-0,881;-3,508;93,23;-5,903;-4,335
"photographier";-2,932;-3,141;-4,094;-0,416;-4,485;59,282
"opposer";2,919;-2,242;-1,019;12,59;-1,037;-1,554
"ombre";-2,792;-2,991;-0,581;-1,452;-6,56;55,243
"nouvel";-2,792;2,561;-1,872;-0,323;-4,17;16,278
"ministère";18,401;36,327;-4,094;-3,56;-6,889;-5,059
"légal";0,225;42,422;-3,703;-3,22;-0,806;-2,428
"innombrable";0,846;0,002;3,203;-2,541;-0,176;-0,351
"imitation";-2,792;-2,991;5,15;0,496;-1,007;1,447
"illimité";-0,143;-1,259;0,874;-0,416;-2,595;7,426
"hollande";84,97;-2,691;-3,508;-3,05;-0,62;-4,335
"gazette";49,806;-2,691;-3,508;-0,164;-1,782;-0,789
"fichier";-2,792;-1,131;-3,899;-3,39;53,38;-4,818
"effectuer";1,128;0,072;-0,581;-3,39;-0,234;3,131
"départ";-0,748;-2,691;0,466;0,071;0,73;0,093
"déduire";-1,255;-1,344;10,191;-0,082;-2,949;1,123
"dramatique";-2,652;-1,005;-3,703;44,792;-3,855;0,034
"célèbre";0,331;-0,881;-0,354;18,403;-3,543;-0,789
"critère";-2,093;-0,531;27,975;-2,541;0,033;-3,611
"considération";-0,17;0,144;5,678;-0,365;-0,413;-0,938
"confondre";-2,372;-2,541;7,741;1,131;-0,451;-0,033
"composé";-2,233;-0,643;-3,118;-0,05;1,422;6,093
"complémentaire";-2,792;-0,158;-0,581;-3,39;13,475;0,005
"complément";-0,86;-0,102;-3,703;-1,303;19,626;-0,955
"comparable";-0,639;-0,76;16,787;-0,1;-1,524;-0,632
"commander";31,55;-0,881;0,002;-1,157;-1,782;-2,206
"coefficient";-0,003;-2,541;29,292;-2,881;-0,451;-1,986
"chef_d_oeuvre";-2,792;-0,158;-0,024;41,364;-6,56;-1,128
"annuellement";21,909;2,995;-3,703;-3,22;0,028;-4,576
"aimer";-0,86;-0,102;-0,463;36,48;-3,855;-2,428
"abréger";-2,652;-1,005;-1,696;-1,303;36,343;-4,576
"aboutir";-0,86;-2,841;30,685;-3,22;-0,806;-0,157
"3e";20,06;-0,158;-1,872;-3,39;0,308;-1,128
"2e";11,946;-0,881;-3,508;-3,05;6,234;-2,206
"étiquette";-0,051;-2,841;-3,703;0,027;5,285;0,586
"équivalent";-0,021;-0,056;-0,354;-0,164;-0,62;4,394
"épaisseur";-2,652;-1,005;-1,696;-3,22;-6,232;59,874
"valoir";0,331;0,216;-1,523;-0,164;0,73;-0,085
"universalis";-1,395;-0,079;-1,947;-1,693;23,005;-2,406
"transcrire";-0,021;-2,691;-1,523;0,877;-1,782;10,824
"traducteur";0,001;-0,643;-0,168;16,355;-1,275;-1,768
"standardisation";-1,813;-0,323;-0,008;-2,202;1,335;3,034
"soulever";-2,652;-1,005;3,267;11,754;-2,047;-0,955
"sigle";-2,233;-0,643;-3,118;-2,711;0,001;25,006
"sensibilité";-2,512;-2,691;6,76;8,693;-5,903;0,093
"réfléchir";-2,093;-2,242;27,975;-0,016;-1,037;-1,554
"psychique";-2,792;-2,991;79,894;-1,452;-6,56;-2,652
"près_de";21,909;0,133;-0,463;-0,239;-0,806;-4,576
"provoquer";-2,652;-0,102;5,902;-3,22;-2,047;6,294
"province";26,648;18,184;-3,899;-1,452;-6,56;-4,818
"prototype";3,047;-2,991;-1,872;0,496;2,539;-1,128
"protection";4,064;21,872;-3,508;-1,157;-3,543;-0,789
"poème";-0,975;-2,991;-3,899;59,355;-2,318;-1,128
"philologie";0,017;-2,242;27,975;-0,739;-1,037;-3,611
"pape";7,487;-0,056;-3,508;8,693;-5,903;-0,085
"paix";5,9;39,214;-0,581;-3,39;-6,56;-4,818
"nuit";-2,652;-0,102;-3,703;16,657;-3,855;3,716
"nouveauté";10,749;1,097;-0,003;-3,22;0,028;-4,576
"nommer";3,49;-0,423;-2,727;2,254;-2,316;0,758
"naissance";-0,639;-0,76;0,023;1,131;-5,574;8,352
"métaphysique";0,001;-2,392;5,292;16,355;-5,246;-3,853
"monter";0,466;-2,541;-3,313;-1,014;-1,524;22,397
"kilomètre";0,331;0,216;-3,508;-3,05;-5,903;25,813
"juge";0,331;-0,881;-0,354;18,403;-0,62;-4,335
"journalisme";46,019;-1,005;-0,463;0,027;-6,232;-2,428
"interne";-0,639;-0,76;0,656;-0,1;4,6;-1,986
"in_folio";1,128;-2,991;-3,899;0,005;9,932;-1,128
"identification";-2,093;-2,242;-1,019;-0,016;19,16;-1,554
"historien";-2,652;-1,005;-1,696;22,412;1,521;-4,576
"génération";-2,512;-2,691;15,039;8,693;-1,782;-4,335
"génie";-2,233;-0,643;-0,168;47,464;-5,246;-1,768
"gutenberg";5,405;-2,392;-3,118;-0,874;-5,246;19,075
"groupement";-0,86;-0,102;3,267;-1,303;3,119;-2,428
"genève";1,128;68,228;-3,899;-1,452;-6,56;-4,818
"fonctionnement";0,225;-1,005;5,902;-3,22;-2,047;1,814
"feuillet";-2,652;-2,841;-3,703;-3,22;43,051;-0,955
"fermer";2,437;-2,392;-3,118;22,614;-2,924;-0,485
"femme";-0,051;-1,005;-3,703;11,754;0,491;-0,955
"faute";-2,372;-0,76;-1,352;5,971;-1,524;5,179
"fantaisie";-0,975;-2,991;8,269;0,496;-2,318;0,405
"espagnol";10,749;-0,102;-3,703;2,16;-3,855;0,034
"désir";-0,639;-2,541;7,741;20,375;-5,574;-4,094
"dépouillement";-2,372;-0,022;-3,313;-2,881;30,514;-1,986
"déclarer";28,963;-0,102;-3,703;0,667;-2,047;-2,428
"dominer";-2,372;-2,541;22,607;3,074;-5,574;-0,632
"documenter";-2,372;4,068;-0,255;-1,014;0,207;0,188
"demeurer";-0,433;5,506;-0,096;-0,016;-1,037;0,004
"cuivre";-2,512;-2,691;-3,508;-3,05;-3,543;65,046
"créateur";-0,639;-2,541;2,153;20,375;-3,232;-1,986
"correction";-2,652;-1,005;1,405;-3,22;3,119;0,586
"contribuer";1,128;-0,158;1,117;-0,323;-1,007;0,005
"contact";-0,533;0,472;2,633;0,238;-2,924;-0,004
"client";49,806;-0,056;-3,508;-3,05;-1,782;-0,789
"chanter";-2,372;-0,76;-3,313;43,352;-1,524;-0,632
"auto";3,522;-1,005;-0,463;-1,303;-0,806;3,716
"audition";-2,652;-1,005;-0,463;0,667;-6,232;23,356
"atelier";3,047;31,317;-1,872;-3,39;-4,17;-1,128
"arbitraire";-2,233;-0,643;0,893;-0,05;3,144;-0,485
"angle";-1,953;-2,092;-0,041;-2,371;-2,316;31,444
"amour";-2,652;-2,841;13,494;22,412;-6,232;-4,576
"absolu";-0,338;0,885;3,883;-0,608;-0,812;-0,233
"élargir";-0,86;-1,005;13,494;0,027;-0,806;-0,955
"version";-2,512;-0,881;-0,354;31,712;-3,543;-0,085
"vedette";-2,512;-2,691;-3,508;-3,05;40,048;-0,789
"variation";-2,093;-0,531;1,188;1,807;-0,176;0,004
"uniforme";-2,372;-0,76;0,656;5,971;-1,524;0,188
"télégramme";21,012;-0,323;-2,532;-2,202;-2,017;1,081
"traditionnel";-2,652;-2,841;0,318;-0,239;0,491;3,716
"times";1,428;0,066;-2,532;-0,483;5,969;-3,129
"supplément";21,909;-2,841;-3,703;-1,303;5,285;-4,576
"suffisant";-0,338;0,885;-0,041;-0,608;0,116;0,038
"signifier";-2,233;-2,392;-1,184;0,238;0,001;9,619
"réclamer";7,487;-0,056;-1,523;-0,164;-5,903;4,394
"remarquer";-0,86;-2,841;-1,696;53,957;-2,047;-2,428
"relativement";-0,051;-2,841;18,451;-0,239;-0,806;-0,955
"regard";-1,953;-2,092;1,553;0;0,922;0,038
"rang";0,466;-2,541;0,656;0,139;1,037;-1,986
"prénom";-0,338;-2,092;-2,727;-2,371;28,133;-1,344
"protéger";7,487;-0,056;-1,523;-1,157;0,73;-0,789
"prose";-2,512;-2,691;-3,508;58,422;-0,62;-2,206
"possession";-0,533;-0,003;2,633;3,649;-2,924;-0,485
"plier";-0,639;-2,541;-3,313;-2,881;24,609;-0,033
"parchemin";-2,652;-1,005;-3,703;-1,303;-3,855;51,22
"parallèle";-0,639;-0,022;4,515;-2,881;-1,524;2,761
"paléographie";-0,639;-2,541;0,023;5,971;-5,574;5,179
"optique";-2,372;-2,541;0,023;-2,881;-5,574;43,231
"numérotage";-0,021;-0,881;-3,508;-3,05;27,391;-2,206
"manifestation";-2,372;-0,76;16,787;5,971;-3,232;-4,094
"livrer";1,679;-0,881;0,466;0,071;-1,782;0,093
"lisibilité";-1,953;-2,092;-0,859;-0,608;-4,589;39,491
"jean";0,331;-0,881;-3,508;13,098;-1,782;0,093
"inventeur";-2,512;-0,881;3,845;-0,164;-5,903;10,824
"instant";-0,639;-0,022;4,515;3,074;-5,574;-0,033
"heureux";-0,86;-1,005;-0,463;22,412;-0,806;-0,955
"für";5,979;5,328;-2,142;-1,863;0,04;-2,647
"ex_libris";16,605;-2,242;-2,923;-2,541;1,903;-0,351
"essayer";-0,639;-0,76;-0,255;5,971;-0,451;0,188
"entraîner";-0,003;4,068;-1,352;5,971;-1,524;-1,986
"duplicata";-2,512;-2,691;-3,508;-3,05;33,42;-0,085
"distingué";-0,86;-2,841;-3,703;4,506;5,285;-0,157
"curiosité";0,331;-0,881;3,845;0,071;-0,058;-2,206
"couverture";-2,512;-2,691;-3,508;-3,05;33,42;-0,085
"coordonnée";-2,233;-2,392;5,292;-0,874;3,144;-0,485
"consommation";0,636;0,472;-1,184;0,238;-5,246;3,369
"connexion";-0,639;7,503;0,023;-1,014;1,037;-4,094
"communiquer";8,444;-0,76;2,153;0,139;-5,574;-0,632
"communauté";-2,372;50,02;2,153;-2,881;-5,574;-4,094
"chine";-0,748;-2,691;-3,508;8,693;-5,903;15,108
"cesser";2,027;-0,76;-1,352;5,971;-0,451;-0,632
"centimètre";-2,233;-2,392;-3,118;-2,711;0,001;31,738
"centaine";13,3;0,328;0,656;-2,881;-3,232;-0,632
"calculer";0,001;-0,643;-3,118;-0,874;-0,301;13,947
"brûler";0,017;-0,531;-2,923;52,146;-4,918;-3,611
"biographie";-0,533;-2,392;-1,184;-0,05;21,863;-3,853
"août";26,307;-0,022;-3,313;-0,1;-5,574;0,188
"almanach";35,408;-2,092;-0,859;-0,608;-0,079;-3,37
"acquisition";-0,748;-0,881;0,466;2,583;1,966;-4,335
"accès";-0,748;-2,691;-3,508;0,071;21,961;-2,206
"accroissement";0,001;-0,643;5,292;-2,711;1,422;-1,768
"abstraction";-1,953;-0,423;17,17;-0,608;-0,812;-0,233
"évoluer";-2,372;0,328;16,787;-2,881;-5,574;1,097
"éloigner";-0,003;0,328;0,656;-2,881;-1,524;2,761
"éliminer";-2,372;-0,76;0,656;3,074;0,207;-0,632
"xve";0,331;-0,881;-1,523;-1,157;-3,543;20,104
"tenue";0,055;6,412;-0,041;-0,608;-0,812;-0,233
"sérieux";-0,021;-0,056;3,845;2,583;-3,543;-0,789
"systématisation";-0,976;1,506;-1,363;-1,185;8,248;-1,684
"spécimen";0,636;-0,643;-3,118;0,238;8,61;-3,853
"schématique";-1,813;-1,943;0,441;-2,202;-4,261;27,592
"satisfaire";-0,639;-0,022;7,741;-0,1;-0,012;-1,986
"sacré";-2,372;-2,541;-0,255;27,081;-1,524;-0,033
"respectif";-2,512;3,493;0,466;-3,05;6,234;-4,335
"renseigner";-0,639;1,676;-1,352;-2,881;14,702;-4,094
"race";-2,512;-0,056;3,845;24,608;-5,903;-4,335
"prononcer";-2,512;-0,056;-1,523;39,716;-5,903;-0,085
"prolongement";-1,953;0,021;7,262;-0,608;-2,316;0,758
"progressivement";-2,512;15,799;1,748;-1,157;-1,782;-0,789
"press";8,287;-0,448;0,64;-0,508;-0,982;-0,721
"ponctuation";-1,813;-1,943;-0,705;0,009;-0,603;14,81
"particularité";-0,433;-2,242;-0,096;0,372;0,033;1,873
"otlet";-0,433;29,395;-2,923;-0,739;-1,037;-0,351
"orchestre";-0,639;-2,541;-1,352;-1,014;-3,232;35,532
"nécessiter";-0,748;-0,056;-1,523;-1,157;1,966;2,248
"numéroté";-0,639;-0,76;-1,352;-2,881;30,514;-4,094
"noter";-0,01;-1,344;-0,177;-0,082;1,898;0,047
"multitude";-1,953;-0,423;7,262;0,549;-2,316;0,038
"modification";-0,639;-0,022;0,023;-0,1;0,207;0,188
"mensuel";37,746;-0,643;-3,118;-2,711;-0,301;-0,485
"magazine";26,358;-0,423;-2,727;-0,608;-0,812;-0,233
"lent";-0,639;-0,76;4,515;-2,881;-3,232;8,352
"lancer";7,487;-2,691;-1,523;5,188;-0,62;-0,789
"lampe";-0,533;-2,392;-3,118;-2,711;-2,924;47,606
"justifier";-0,639;0,328;-0,255;-1,014;0,207;1,097
"justification";-2,372;-0,76;-3,313;-2,881;0,207;22,397
"intervention";-2,233;-0,643;0,893;3,649;-5,246;3,369
"interdire";26,307;-2,541;-0,255;0,139;-5,574;-0,033
"initiative";-0,639;24,067;-1,352;0,139;-3,232;-0,632
"influencer";2,027;1,676;2,153;-1,014;-3,232;-0,632
"grandir";0,121;0,066;8,52;-2,202;-0,603;-1,138
"garder";0,636;-0,003;-1,184;-0,874;0,001;1,446
"fédération";18,641;11,075;-2,727;-2,371;-2,316;-3,37
"fondation";8,444;11,981;-3,313;0,139;-5,574;-1,986
"finalement";-0,639;4,068;7,741;-1,014;-3,232;-0,632
"feu";-0,533;-2,392;-1,184;3,649;-5,246;13,947
"fatigue";-2,233;-2,392;18,779;-0,874;-2,924;1,446
"défendre";-2,233;-2,392;-1,184;47,464;-2,924;-0,485
"décoratif";-2,233;-2,392;-3,118;-0,05;-2,924;39,271
"décision";-0,003;4,068;-3,313;-2,881;4,6;-0,632
"court";0,221;-1,793;-0,557;0,047;0,001;1,498
"conte";0,636;-2,392;-3,118;38,169;-5,246;-0,485
"concours";2,437;2,048;-1,184;0,238;-0,301;-1,768
"complexité";-1,953;-2,092;39,903;-2,371;-0,079;-3,37
"collectivité";-0,003;7,503;2,153;-0,1;-1,524;-4,094
"chambre";-0,748;15,799;-3,508;-3,05;-1,782;4,394
"autonome";-0,639;31,675;-0,255;-2,881;-0,451;-1,986
"appendice";-2,372;-2,541;-0,255;-2,881;37,053;-4,094
"antérieurement";-0,748;-2,691;6,76;0,877;-0,058;-0,789
"alphabétiques";-2,372;-2,541;-3,313;-2,881;7,333;8,352
"album";-0,639;-2,541;-3,313;-2,881;4,6;8,352
"affecter";0,331;1,362;0,466;-3,05;-3,543;2,248
"acheteur";72,211;-0,881;-3,508;-1,157;-1,782;-4,335
"accorder";0,846;-0,531;-1,019;12,59;-4,918;0,004
"accepter";0,466;7,503;-1,352;0,139;-0,012;-4,094
"abstrait";-1,534;-1,643;11,826;-0,257;-3,605;2,034
"épreuve";0,001;-0,643;0,071;-2,711;-2,924;13,947
"épars";-2,372;-0,76;-0,255;27,081;-0,012;-4,094
"victor";0,846;-2,242;-2,923;12,59;-2,618;0,511
"universalité";-1,953;-2,092;23,698;-2,371;0,116;-1,344
"télégraphe";-0,338;0,021;-2,727;-2,371;-4,589;31,444
"traitement";1,106;0,885;-0,859;-2,371;2,499;-1,344
"solide";-1,953;-0,423;0,272;-0,608;0,116;2,395
"signalisation";-1,674;-1,793;-2,337;-2,032;0,001;23,793
"réserve";0,466;4,068;4,515;-0,1;-3,232;-4,094
"réduction";0,055;-0,423;-2,727;-2,371;0,922;4,947
"réciproquement";-2,233;-0,643;18,779;1,437;-1,275;-3,853
"recommander";-0,639;-0,022;-3,313;-1,014;4,6;1,097
"ranger";-2,372;-0,76;-1,352;-2,881;30,514;-1,986
"présent";-0,639;-2,541;-1,352;9,82;1,037;-0,632
"progresser";0,001;-0,643;0,893;-0,874;0,375;-0,004
"prince";4,687;-0,022;-0,255;0,139;-5,574;1,097
"plante";0,11;-0,896;-1,168;0,023;0,243;0,748
"pied";2,027;-2,541;-3,313;-0,1;0,207;2,761
"orateur";-2,233;-0,643;-3,118;22,614;-5,246;3,369
"onde";-2,093;0,655;-2,923;-2,541;-4,918;35,34
"net";-0,433;-2,242;3,203;-2,541;-2,618;11,087
"kg";22,878;-1,045;-1,363;-1,185;-2,293;0,379
"initiale";-1,953;-2,092;-2,727;-2,371;2,499;12,799
"horizontale";-2,372;0,328;-3,313;-2,881;-0,012;16,961
"honneur";-2,233;2,048;-1,184;6,872;-2,924;0,324
"hollandais";47,715;-0,643;-3,118;-0,05;-1,275;-3,853
"hasard";-2,372;-0,022;7,741;3,074;-1,524;-1,986
"gramme";-0,557;-0,597;-0,778;4,083;-1,31;2,402
"fréquemment";-1,953;-0,423;-0,859;-2,371;0,116;12,799
"fragment";-2,372;-2,541;-3,313;-1,014;19,338;0,188
"favorable";-0,003;0,328;11,832;0,139;-3,232;-4,094
"expert";2,437;0,472;-0,168;1,437;-1,275;-1,768
"encyclopedia";3,49;0,021;-2,727;-2,371;7,964;-3,37
"déterminé";-2,093;2,489;1,188;-2,541;0,608;-0,351
"diminuer";0,001;-0,003;5,292;-2,711;0,001;-0,485
"didot";21,012;-1,943;-2,532;-2,202;-4,261;5,974
"danger";9,539;-0,643;0,071;1,437;-1,275;-3,853
"critiquer";-2,093;0,002;0,152;1,807;0,608;-1,554
"coûteux";2,027;4,068;-3,313;-1,014;-0,012;-0,033
"contrôler";-0,249;7,479;-0,705;-2,202;1,335;-1,138
"conforme";-2,093;0,655;3,203;-2,541;0,608;-0,351
"condamner";10,799;-2,242;0,152;7,916;-4,918;-3,611
"concordance";-2,093;-2,242;-1,019;-2,541;6,649;4,089
"clairement";-1,255;-0,028;16,774;-1,524;-0,029;-2,165
"charles";4,988;-0,23;-2,337;3,457;-0,413;-0,938
"borner";-0,533;-2,392;0,893;3,649;1,422;-3,853
"bloc";-2,233;-0,003;-3,118;-2,711;-1,275;31,738
"argument";-1,674;1,535;-0,557;1,077;1,871;-2,888
"amateur";2,027;-0,76;2,153;-1,014;-1,524;0,188
"admirable";-2,233;-0,003;2,633;6,872;-2,924;-0,485
"adapter";-2,233;2,048;2,633;-0,05;-1,275;-0,004
"accent";-1,534;-1,643;6,874;-1,863;-3,605;8,717
"abonné";106,425;-2,541;-3,313;-2,881;-5,574;-1,986
"abonnement";64,304;-0,531;-2,923;-2,541;-2,618;-1,554
"4e";2,437;2,048;-3,118;-2,711;1,422;-0,485
"émettre";0,846;2,489;-1,019;-0,739;-1,037;0,511
"élimination";0,846;-2,242;15,128;-2,541;0,033;-3,611
"électricité";-0,433;-2,242;-0,096;-2,541;-2,618;27,994
"égypte";-2,093;2,489;-2,923;12,59;-2,618;0,004
"éclairer";-2,093;-2,242;15,128;0,372;-2,618;0,004
"vertu";-1,953;3,015;-0,041;5,116;-0,812;-1,344
"studio";0,846;15,087;-2,923;-2,541;-4,918;1,873
"spontané";-1,674;-1,793;15,584;7,184;-3,933;-2,888
"sociologique";0,636;-0,003;25,112;-2,711;-5,246;-1,768
"simplification";-0,433;-0,531;10,173;-0,739;-1,037;0,004
"silence";0,001;-2,392;-3,118;47,464;-5,246;-0,485
"régulièrement";21,309;0,472;-3,118;-0,874;-0,301;-1,768
"richesse";-2,233;2,048;-0,168;3,649;-0,301;-0,485
"retour";2,437;-2,392;-1,184;1,437;-2,924;3,369
"rencontre";-0,433;-2,242;-1,019;33,086;-2,618;-0,351
"radical";-1,395;-1,494;-1,947;5,275;3,46;-0,564
"périodiquement";0,001;4,733;-0,168;-2,711;1,422;-1,768
"père";0,001;-2,392;-3,118;16,355;-1,275;0,324
"président";41,491;0,655;-1,019;-0,739;-4,918;-3,611
"préliminaire";-2,093;-0,531;-0,096;-2,541;19,16;-1,554
"principalement";0,001;-0,003;0,893;-0,05;0,001;-0,485
"philosophe";-2,093;-2,242;0,152;33,086;-2,618;-1,554
"outil";-1,813;-1,943;13,473;-0,483;-4,261;3,034
"oriental";-0,533;-2,392;-1,184;22,614;-2,924;0,324
"nettement";-0,01;-1,344;0,233;-0,082;1,898;-0,394
"métrique";-1,674;-0,23;-2,337;3,457;-1,724;7,211
"mundaneum";-2,233;66,11;-3,118;-2,711;-0,301;-3,853
"mission";10,799;0,655;-1,019;4,322;-4,918;-3,611
"meuble";-0,433;-0,531;-2,923;-2,541;24,767;-1,554
"merveilleux";-0,433;-0,531;1,188;18,342;-4,918;-1,554
"manifester";-0,433;-2,242;0,152;18,342;-4,918;0,004
"léger";-0,249;-0,323;-0,705;-0,483;-4,261;20,708
"individualité";-2,233;0,472;13,365;-2,711;0,375;-3,853
"incunable";-1,813;-0,323;-2,532;2,796;1,335;0,114
"illustrer";-0,433;-2,242;-2,923;0,372;0,608;4,089
"ignorer";0,001;-2,392;25,112;-2,711;-2,924;-0,004
"généralisé";-0,249;0,066;0,441;-2,202;-0,018;1,081
"généraliser";-1,813;-0,323;26,77;-2,202;-0,018;-3,129
"grèce";-2,093;-2,242;-2,923;63,295;-4,918;-0,351
"globe";0,017;-2,242;-2,923;0,372;-4,918;21,504
"fondement";-1,953;0,021;11,692;0,549;-2,316;-1,344
"expédition";9,539;8,526;-3,118;-0,05;-5,246;-0,485
"efficience";-0,533;8,526;18,779;-2,711;-5,246;-3,853
"détailler";-1,534;-1,643;-0,418;-1,863;19,367;-0,746
"dynamique";-1,534;-1,643;6,874;-1,863;-0,249;2,034
"durable";-1,674;-0,23;5,678;-0,365;-3,933;3,82
"diplomatique";10,799;5,506;-1,019;-0,016;-4,918;-1,554
"diffuser";0,121;7,479;0,441;0,009;-4,261;-1,138
"deuxième";-1,534;-0,148;0,975;-1,863;2,564;-0,01
"deutsche";1,106;42,39;-2,727;-2,371;-2,316;-3,37
"croissant";0,017;0,002;6,199;-0,016;-2,618;-0,351
"constante";-0,533;4,733;-1,184;-2,711;8,61;-3,853
"concept";-0,697;-0,746;7,013;0,124;-0,058;-1,203
"compilation";-0,433;-0,531;-2,923;7,916;3,917;-3,611
"collectionnement";-0,338;-0,423;-2,727;-2,371;28,133;-3,37
